Table with row headings in column A and column headings in rows 10-12 - leading dots indicate subparts.,,,,,,,
2014 NEW YORK CITY HOUSING AND VACANCY SURVEY,,,,,,,
ALL OCCUPIED HOUSING UNITS BY TENURE,,,,,,,
 ,,,,,,,
SERIES IB - TABLE 22,,,,,,,
,,,,,,,
CONDITION OF EXTERNAL WALLS OF BUILDING,,,,,,,
,,,,,,,
,,,,,,,
,ALL OCCUPIED UNITS,ALL OWNER OCCUPIED,OWNER - CONVENTIONAL,OWNER - CONDOMINIUM,OWNER - COOP PRIVATE,OWNER - MITCHELL LAMA COOP*,RENTER OCCUPIED
,,,,,,,
,,,,,,,
,,,,,,,
TOTALƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒ.,"3,124,138","1,015,299","579,657","112,152","268,019","55,472","2,108,838"
"..MISSING BRICKS, SIDING, OR OTHER MATERIALƒ..","30,083","7,630","4,495",391,"2,744",0,"22,453"
..SLOPING OR BULGING OUTSIDE WALLSƒƒƒƒƒ..,"6,794","1,132","1,127",0,5,0,"5,663"
..MAJOR CRACKS IN WALLSƒƒƒƒƒƒƒƒƒƒƒ..,"17,675","3,186","3,186",0,0,0,"14,489"
"..LOOSE OR HANGING CORNICE, ROOFING, ETCƒƒ.","23,180","6,837","5,146",195,927,569,"16,342"
..NONE OF THESE PROBLEMS WITH WALLSƒƒƒƒ,"3,033,753","990,165","562,951","110,128","262,183","54,903","2,043,588"
..UNABLE TO OBSERVE WALLSƒƒƒƒƒƒƒƒƒƒ,"6,840","2,575",471,844,"1,261",0,"4,264"
..NOT REPORTEDƒƒƒƒƒƒƒƒƒƒ...ƒƒƒƒƒƒ,"16,030","5,436","3,942",595,899,0,"10,594"
,,,,,,,
Footnotes:,,,,,,,
*Includes Article 4 Coops,,,,,,,
,,,,,,,
,,,,,,,
DETAIL MAY NOT ADD TO TOTAL SINCE MORE THAN ONE PROBLEM COULD BE REPORTED.,,,,,,,
,,,,,,,
,,,,,,,
"Source:  U.S. Census Bureau, 2014 New York City Housing and Vacancy Survey",,,,,,,